site_id,lon,lat
0,-124.6354,48.33386
1,-124.53484,47.73182
2,-124.41166,48.17973
3,-124.3708,47.94497
4,-124.31815,48.01305
5,-124.26556,47.16396
6,-124.14037,47.41918
7,-124.11748,47.1038
8,-124.00814,46.98765
9,-123.96771,46.87102
10,-123.93881,48.23118
11,-123.8907,47.02898
12,-123.85548,47.01453
13,-123.84001,46.9686
14,-123.82852,46.98858
15,-123.82324,48.00379
16,-123.80566,47.74224
17,-123.8016,47.28045
18,-123.79256,46.98092
19,-123.79231,46.94842
20,-123.70609,46.97602
21,-123.58847,47.15623
22,-123.49156,48.11666
23,-123.47192,46.88384
24,-123.46271,48.11779
25,-123.44521,48.11441
26,-123.43935,48.07921
27,-123.43497,47.02264
28,-123.42872,48.11197
29,-123.41137,48.10002
30,-123.37,48.10424
31,-123.3651,47.93062
32,-123.34779,48.071
33,-123.31282,47.46138
34,-123.28047,47.28094
35,-123.2725,47.04002
36,-123.23343,48.10674
37,-123.19206,47.99161
38,-123.16911,48.11716
39,-123.16675,47.11823
40,-123.15757,47.33332
41,-123.15212,47.24022
42,-123.11945,47.22446
43,-123.1165,48.06096
44,-123.11348,48.57126
45,-123.10828,47.20155
46,-123.10399,48.11057
47,-123.1004,48.07872
48,-123.09037,47.23357
49,-123.08482,46.96261
50,-123.07563,46.78687
51,-123.06883,47.31931
52,-123.06525,47.07958
53,-123.05879,46.85846
54,-123.05617,48.35289
55,-123.0297,48.98079
56,-123.01523,47.1895
57,-123.00811,47.97331
58,-122.98814,48.53109
59,-122.98608,47.44433
60,-122.9755,46.93722
61,-122.97184,46.99198
62,-122.96515,47.23065
63,-122.96359,47.2986
64,-122.9594,47.08815
65,-122.95544,46.7969
66,-122.94419,47.04172
67,-122.93737,46.99748
68,-122.9364,47.06702
69,-122.92807,47.01508
70,-122.92652,48.13073
71,-122.92449,47.05522
72,-122.92276,46.92991
73,-122.91748,47.03759
74,-122.91231,47.83926
75,-122.90519,46.98713
76,-122.90235,47.04528
77,-122.89039,48.64198
78,-122.8843,47.02428
79,-122.88129,47.06104
80,-122.87499,47.13552
81,-122.87345,47.04479
82,-122.87198,48.52194
83,-122.8684,46.88398
84,-122.8608,47.02875
85,-122.85719,47.00211
86,-122.85341,46.96886
87,-122.85044,47.56353
88,-122.84918,47.3936
89,-122.84704,47.09521
90,-122.83525,47.05837
91,-122.83507,47.02497
92,-122.83232,46.99761
93,-122.82048,46.81534
94,-122.81988,47.61521
95,-122.81617,47.04656
96,-122.81424,46.99226
97,-122.80926,47.02988
98,-122.808,48.96176
99,-122.80648,47.11377
100,-122.79977,48.13821
101,-122.79922,47.01074
102,-122.79911,46.99877
103,-122.79625,48.33956
104,-122.78548,48.88891
105,-122.77959,47.03193
106,-122.77953,47.05281
107,-122.77532,47.14377
108,-122.77411,48.13978
109,-122.76839,46.9958
110,-122.76445,48.90215
111,-122.76107,47.30842
112,-122.75324,47.05714
113,-122.75113,47.02762
114,-122.75062,47.3762
115,-122.74858,47.09343
116,-122.74383,48.22077
117,-122.74236,47.65224
118,-122.72195,47.4933
119,-122.72194,46.89221
120,-122.72063,47.43039
121,-122.71805,47.90535
122,-122.71688,46.95647
123,-122.71601,47.72455
124,-122.70748,48.27208
125,-122.70154,48.06309
126,-122.70089,47.64849
127,-122.6957,47.55459
128,-122.69144,47.58746
129,-122.68918,47.60192
130,-122.68442,47.20974
131,-122.68392,47.02757
132,-122.67947,48.69343
133,-122.67643,48.49146
134,-122.67508,47.29565
135,-122.67488,47.59173
136,-122.67453,47.64761
137,-122.67227,47.71559
138,-122.67204,47.78266
139,-122.67109,48.31853
140,-122.66915,47.55375
141,-122.66903,47.62893
142,-122.66839,48.33995
143,-122.66794,48.55847
144,-122.66581,48.29214
145,-122.66513,47.10391
146,-122.66454,47.67062
147,-122.6635,48.97338
148,-122.66329,48.30272
149,-122.66078,47.38469
150,-122.65758,47.56497
151,-122.65499,48.29009
152,-122.65223,47.61367
153,-122.65058,48.4926
154,-122.64969,48.1838
155,-122.64964,47.63969
156,-122.64946,47.57947
157,-122.64844,47.52899
158,-122.64821,47.59718
159,-122.64655,47.25769
160,-122.64536,47.74266
161,-122.64279,47.56722
162,-122.64179,47.43414
163,-122.63812,48.3015
164,-122.63788,47.59197
165,-122.63785,48.76736
166,-122.63598,48.5393
167,-122.63304,47.3409
168,-122.63175,47.67566
169,-122.63056,47.56082
170,-122.62676,47.74021
171,-122.625,47.51894
172,-122.62451,46.94857
173,-122.6243,48.51391
174,-122.62361,47.56638
175,-122.62294,47.30777
176,-122.62195,47.58303
177,-122.62128,47.5976
178,-122.61937,47.64258
179,-122.61746,48.39092
180,-122.61661,48.49541
181,-122.61505,47.28329
182,-122.6136,47.49519
183,-122.61314,47.16555
184,-122.61181,47.8017
185,-122.607,46.82936
186,-122.60669,47.09093
187,-122.60393,48.4541
188,-122.60383,48.49909
189,-122.60243,47.58587
190,-122.60212,47.60839
191,-122.60143,47.12932
192,-122.59937,47.37698
193,-122.59744,46.9295
194,-122.59641,47.52127
195,-122.59312,47.55386
196,-122.59085,47.16617
197,-122.58992,47.28777
198,-122.58654,48.87355
199,-122.58645,47.41501
200,-122.58604,48.07275
201,-122.58566,47.32879
202,-122.58029,47.73212
203,-122.57736,47.16056
204,-122.57533,47.45349
205,-122.57513,47.49035
206,-122.57511,48.32904
207,-122.57479,47.2057
208,-122.57273,48.29763
209,-122.57048,47.85865
210,-122.56668,47.02385
211,-122.56405,47.23141
212,-122.56351,47.29843
213,-122.55989,47.6692
214,-122.55767,47.17077
215,-122.55761,47.14542
216,-122.55326,47.18715
217,-122.55294,47.21655
218,-122.54912,47.55648
219,-122.54852,47.25395
220,-122.54824,47.36892
221,-122.5439,47.61339
222,-122.54357,47.22958
223,-122.54018,47.12293
224,-122.53996,48.80302
225,-122.53989,47.10607
226,-122.53741,47.15301
227,-122.5364,48.4154
228,-122.53396,47.18614
229,-122.53358,47.26657
230,-122.53218,47.23151
231,-122.52771,47.68528
232,-122.52684,47.3068
233,-122.5264,47.28602
234,-122.52526,47.98287
235,-122.52432,48.86531
236,-122.52236,47.24621
237,-122.52129,48.95738
238,-122.52032,47.20429
239,-122.5188,48.71502
240,-122.51773,47.15808
241,-122.51743,47.21361
242,-122.51681,47.50646
243,-122.51583,47.23112
244,-122.51451,48.21883
245,-122.51175,47.63331
246,-122.51168,48.77526
247,-122.51148,47.75527
248,-122.51118,47.82016
249,-122.50993,47.2808
250,-122.50981,47.2633
251,-122.50786,47.18473
252,-122.50754,48.16936
253,-122.50536,47.14439
254,-122.50029,47.15993
255,-122.49987,46.96987
256,-122.49735,47.22221
257,-122.49645,47.19401
258,-122.49635,47.2656
259,-122.49548,47.16953
260,-122.49367,47.24558
261,-122.49056,47.12985
262,-122.48779,48.76756
263,-122.48604,48.75572
264,-122.48596,48.74789
265,-122.48515,47.28526
266,-122.48311,48.72192
267,-122.48074,48.05933
268,-122.4798,48.73692
269,-122.47863,47.20033
270,-122.47853,47.26137
271,-122.47738,47.22038
272,-122.47649,47.45096
273,-122.47469,47.17838
274,-122.47467,47.27521
275,-122.47453,47.24908
276,-122.4686,47.3954
277,-122.4683,48.75639
278,-122.46778,47.19719
279,-122.46728,47.1565
280,-122.46677,47.16382
281,-122.46523,47.72375
282,-122.46399,47.17098
283,-122.459,47.25002
284,-122.45845,47.23785
285,-122.4581,47.27336
286,-122.45483,48.94996
287,-122.45471,48.65989
288,-122.45264,48.21456
289,-122.45221,47.21493
290,-122.45191,47.13334
291,-122.45183,47.22679
292,-122.45178,47.19741
293,-122.45166,47.17507
294,-122.45156,47.10868
295,-122.45123,47.18645
296,-122.44989,48.76401
297,-122.44945,47.2622
298,-122.44833,47.25024
299,-122.44831,48.74518
300,-122.44811,48.71542
301,-122.44528,47.14569
302,-122.4436,47.3054
303,-122.4434,47.16417
304,-122.44231,47.15475
305,-122.44023,47.25423
306,-122.43843,48.40453
307,-122.43774,47.24015
308,-122.43518,48.97158
309,-122.43417,47.22767
310,-122.43378,47.21453
311,-122.43348,48.77209
312,-122.43217,47.19899
313,-122.43146,47.18096
314,-122.42911,48.47028
315,-122.42484,48.88255
316,-122.42357,47.13238
317,-122.42148,48.1096
318,-122.42044,47.10983
319,-122.41994,47.08576
320,-122.41845,46.89878
321,-122.41841,47.22931
322,-122.4183,47.15994
323,-122.41746,47.10071
324,-122.41678,47.21422
325,-122.416,47.30113
326,-122.41543,47.51144
327,-122.41377,47.6581
328,-122.41106,48.28315
329,-122.41017,47.57319
330,-122.41004,47.17976
331,-122.40885,47.07182
332,-122.4087,47.19902
333,-122.40784,47.26685
334,-122.40711,47.64055
335,-122.40646,46.80415
336,-122.40593,47.98785
337,-122.40542,47.12163
338,-122.40229,47.67533
339,-122.40122,47.21539
340,-122.40119,47.23212
341,-122.39964,47.31304
342,-122.39643,47.68776
343,-122.39601,47.57193
344,-122.39546,47.294
345,-122.39497,47.69463
346,-122.39451,48.76478
347,-122.39349,47.93757
348,-122.39187,47.54765
349,-122.38978,47.52827
350,-122.3897,48.57666
351,-122.38886,47.31899
352,-122.38881,48.7261
353,-122.38824,47.58999
354,-122.3881,47.78811
355,-122.38742,46.97331
356,-122.38738,47.5076
357,-122.38736,47.77071
358,-122.38623,47.15068
359,-122.38555,47.55744
360,-122.38504,47.65489
361,-122.38309,47.57195
362,-122.3822,47.07339
363,-122.38068,47.51293
364,-122.38029,47.63536
365,-122.3799,47.70048
366,-122.37932,47.12407
367,-122.37824,47.80665
368,-122.37681,47.67597
369,-122.37645,47.03805
370,-122.37553,47.53018
371,-122.37495,47.66607
372,-122.37404,47.6851
373,-122.37303,47.5468
374,-122.37266,47.205
375,-122.37216,47.2792
376,-122.37162,47.75698
377,-122.37111,48.79046
378,-122.37106,47.72241
379,-122.36864,47.17541
380,-122.36857,47.30788
381,-122.36857,47.64923
382,-122.3682,47.29321
383,-122.36792,47.45151
384,-122.3675,47.54507
385,-122.36741,47.70788
386,-122.36697,47.63436
387,-122.36602,48.25603
388,-122.3651,47.78465
389,-122.36463,47.52067
390,-122.36426,47.24904
391,-122.36395,47.69652
392,-122.3639,47.74328
393,-122.36389,47.49621
394,-122.36336,47.77167
395,-122.36327,47.51285
396,-122.36203,47.52971
397,-122.36175,47.67406
398,-122.36065,47.68509
399,-122.36018,47.66085
400,-122.35774,47.8282
401,-122.3574,47.62244
402,-122.35681,47.62823
403,-122.35647,47.63603
404,-122.35553,47.61507
405,-122.35503,47.57945
406,-122.35465,47.47495
407,-122.35448,47.69636
408,-122.35279,47.64323
409,-122.35237,47.71686
410,-122.35209,47.67255
411,-122.35202,47.30832
412,-122.35185,47.6572
413,-122.3518,47.73019
414,-122.35113,47.06182
415,-122.34995,47.68511
416,-122.34993,47.80439
417,-122.34987,47.54403
418,-122.34959,47.29011
419,-122.34956,47.81475
420,-122.34909,47.79324
421,-122.34854,47.32063
422,-122.34835,47.03941
423,-122.34785,47.46389
424,-122.34732,47.75616
425,-122.34691,47.33611
426,-122.34616,47.13145
427,-122.34526,47.61209
428,-122.34508,47.22873
429,-122.34484,47.52737
430,-122.34469,47.43297
431,-122.34427,47.63186
432,-122.34336,47.50763
433,-122.34312,47.61945
434,-122.34228,48.14251
435,-122.34223,48.46628
436,-122.34219,48.43986
437,-122.34218,47.70228
438,-122.34198,47.69405
439,-122.34181,47.66087
440,-122.34176,47.18716
441,-122.34175,47.769
442,-122.34139,48.40451
443,-122.34132,47.49783
444,-122.34117,47.48164
445,-122.34031,47.11504
446,-122.33934,47.60587
447,-122.33906,48.41702
448,-122.33822,47.51418
449,-122.33814,47.64863
450,-122.33787,47.68309
451,-122.33758,47.84468
452,-122.3373,47.3035
453,-122.33714,47.78599
454,-122.33705,47.09408
455,-122.33578,47.7396
456,-122.33539,48.0002
457,-122.33483,47.60047
458,-122.33352,47.61999
459,-122.33345,47.14934
460,-122.33298,47.62862
461,-122.33293,47.73053
462,-122.33225,47.65852
463,-122.3321,47.75602
464,-122.33194,47.61037
465,-122.33142,47.71955
466,-122.33138,47.27606
467,-122.33115,47.68687
468,-122.33094,47.57713
469,-122.32826,46.96822
470,-122.328,47.61182
471,-122.3278,47.42124
472,-122.32665,48.41322
473,-122.32644,47.82077
474,-122.32624,47.52967
475,-122.32622,47.69653
476,-122.32495,47.60511
477,-122.32481,47.44541
478,-122.32466,47.62292
479,-122.32447,47.46672
480,-122.32442,47.61876
481,-122.32421,47.67719
482,-122.32397,47.16613
483,-122.32394,47.61347
484,-122.32385,47.86777
485,-122.32374,47.3081
486,-122.32366,47.86041
487,-122.32361,47.48273
488,-122.32352,47.65957
489,-122.32322,47.79267
490,-122.32315,47.3244
491,-122.32291,47.66858
492,-122.32282,47.70712
493,-122.32228,47.6448
494,-122.32214,48.46718
495,-122.32213,47.02225
496,-122.32208,47.38401
497,-122.32191,47.49768
498,-122.32175,47.59842
499,-122.32035,47.40263
500,-122.32021,47.19946
501,-122.31998,47.54251
502,-122.31954,47.77082
503,-122.31803,48.84211
504,-122.31776,47.63096
505,-122.31771,47.24891
506,-122.31711,48.19522
507,-122.31689,47.61839
508,-122.31669,47.6071
509,-122.31658,47.07931
510,-122.31636,48.51085
511,-122.31559,47.834
512,-122.31523,47.35885
513,-122.31469,47.91148
514,-122.31403,47.88316
515,-122.31395,47.30027
516,-122.31381,47.75625
517,-122.31312,47.6615
518,-122.31289,47.74121
519,-122.31278,47.22969
520,-122.31193,47.67034
521,-122.3114,47.6822
522,-122.3112,47.50909
523,-122.3108,47.69533
524,-122.31023,47.55379
525,-122.31,47.72664
526,-122.30987,47.58819
527,-122.30957,47.57658
528,-122.30936,47.13301
529,-122.30928,47.84481
530,-122.30923,47.26775
531,-122.3091,47.59826
532,-122.30865,47.42069
533,-122.30779,47.60592
534,-122.30767,47.61439
535,-122.30759,47.62187
536,-122.30713,47.78399
537,-122.30691,47.18264
538,-122.30681,47.70655
539,-122.3066,47.81293
540,-122.30582,47.79781
541,-122.30576,47.38252
542,-122.30543,47.1035
543,-122.30483,47.62854
544,-122.30438,48.93801
545,-122.30436,47.56731
546,-122.30414,47.32404
547,-122.30412,47.06451
548,-122.30395,48.34137
549,-122.3036,47.66474
550,-122.30344,47.35011
551,-122.3033,47.45048
552,-122.30279,47.33654
553,-122.30261,48.09614
554,-122.30259,48.43555
555,-122.30228,47.6839
556,-122.30186,47.71569
557,-122.30175,47.3994
558,-122.30156,47.9331
559,-122.30155,47.206
560,-122.30149,47.09072
561,-122.30125,47.65404
562,-122.30123,47.63913
563,-122.30088,47.11622
564,-122.30022,47.6694
565,-122.29994,47.82997
566,-122.29984,47.49204
567,-122.29893,47.46875
568,-122.29893,47.8941
569,-122.29891,47.54041
570,-122.29852,47.4806
571,-122.29805,47.69537
572,-122.2977,47.19838
573,-122.29763,47.60733
574,-122.29735,47.61912
575,-122.29703,47.76951
576,-122.29688,47.37986
577,-122.29606,47.70641
578,-122.29564,47.5532
579,-122.29559,47.85813
580,-122.29553,47.67941
581,-122.29245,47.75077
582,-122.2913,47.79238
583,-122.28912,47.50898
584,-122.288,47.42494
585,-122.28783,47.68668
586,-122.28696,47.74029
587,-122.28638,47.83121
588,-122.2862,47.53836
589,-122.28608,47.71125
590,-122.28559,47.29449
591,-122.28504,47.60104
592,-122.28413,47.37989
593,-122.2841,47.6702
594,-122.28344,48.44841
595,-122.28341,47.43881
596,-122.2833,48.40709
597,-122.28319,47.57834
598,-122.28285,47.52017
599,-122.28264,47.55414
600,-122.28234,47.32406
601,-122.28234,47.67941
602,-122.28191,47.86773
603,-122.28189,47.72255
604,-122.28152,47.85624
605,-122.28137,47.16099
606,-122.28132,47.48679
607,-122.2811,47.61416
608,-122.27947,47.39752
609,-122.27893,47.90166
610,-122.27823,47.14443
611,-122.27814,48.25899
612,-122.27754,47.63214
613,-122.27743,47.12227
614,-122.27737,47.53948
615,-122.27652,47.17624
616,-122.27593,47.26742
617,-122.27556,47.46563
618,-122.27514,47.56704
619,-122.27496,47.70637
620,-122.27473,47.34457
621,-122.27417,47.10579
622,-122.27383,47.23206
623,-122.27379,47.76438
624,-122.27358,47.83961
625,-122.2727,47.78435
626,-122.27092,47.81606
627,-122.27044,47.69295
628,-122.26939,47.43092
629,-122.26827,47.79996
630,-122.26787,47.36058
631,-122.26688,47.87506
632,-122.26644,47.94489
633,-122.26575,47.55598
634,-122.26529,48.69217
635,-122.26497,47.16353
636,-122.26493,47.07194
637,-122.26452,47.18399
638,-122.26384,47.85722
639,-122.26363,47.38782
640,-122.26336,47.53793
641,-122.26173,47.32042
642,-122.25828,47.76703
643,-122.2582,47.66928
644,-122.25793,47.91531
645,-122.25719,47.90141
646,-122.25592,47.74188
647,-122.25321,47.51544
648,-122.25315,47.13365
649,-122.25311,47.28071
650,-122.25237,47.68172
651,-122.25178,47.50895
652,-122.25101,47.87065
653,-122.2501,47.49107
654,-122.24952,47.71383
655,-122.24907,47.88607
656,-122.24809,47.84341
657,-122.24666,47.80604
658,-122.24655,47.94082
659,-122.24648,48.52081
660,-122.24584,47.59011
661,-122.24552,47.89175
662,-122.24517,47.78404
663,-122.24449,47.26576
664,-122.24359,47.45914
665,-122.24336,47.41444
666,-122.24314,47.09032
667,-122.24239,47.17071
668,-122.2412,48.49434
669,-122.24053,47.63476
670,-122.24003,47.85997
671,-122.23888,47.91677
672,-122.23818,47.83544
673,-122.23719,47.19725
674,-122.23711,47.04503
675,-122.23689,48.13931
676,-122.23627,47.22692
677,-122.23622,47.49902
678,-122.23608,47.96013
679,-122.23562,47.94477
680,-122.23534,47.32739
681,-122.2353,47.28737
682,-122.23525,47.76424
683,-122.23332,48.17302
684,-122.23205,47.72634
685,-122.23198,47.5327
686,-122.23138,47.38628
687,-122.2309,47.89078
688,-122.23021,47.90164
689,-122.22919,47.79975
690,-122.22617,47.36476
691,-122.2259,47.74246
692,-122.22533,47.7067
693,-122.22526,47.92824
694,-122.22518,47.86738
695,-122.22485,47.81106
696,-122.22483,47.16792
697,-122.22398,47.48251
698,-122.22373,47.54846
699,-122.2227,47.91402
700,-122.22194,48.07522
701,-122.22157,47.29716
702,-122.22052,47.94467
703,-122.22048,47.82085
704,-122.2204,47.97808
705,-122.22025,47.5664
706,-122.22005,47.11162
707,-122.22004,47.64444
708,-122.21973,48.00415
709,-122.21787,47.58228
710,-122.21662,47.98551
711,-122.21604,47.39553
712,-122.21559,47.24646
713,-122.21535,47.49201
714,-122.21498,47.88994
715,-122.21443,47.76447
716,-122.21439,47.78345
717,-122.21433,47.72069
718,-122.21379,46.972
719,-122.21372,47.28605
720,-122.21353,47.96018
721,-122.2135,47.32112
722,-122.21308,47.34259
723,-122.21144,47.42191
724,-122.21133,47.68593
725,-122.21074,47.455
726,-122.20903,47.83275
727,-122.2075,47.30691
728,-122.20717,47.8687
729,-122.20713,47.08015
730,-122.20639,47.37631
731,-122.20568,47.16654
732,-122.20567,47.65488
733,-122.20421,47.62738
734,-122.20387,47.85788
735,-122.20384,47.94174
736,-122.20317,47.51027
737,-122.20177,47.39424
738,-122.20142,47.43689
739,-122.20026,47.40944
740,-122.20023,47.58307
741,-122.20004,47.99413
742,-122.19934,47.8395
743,-122.19933,48.45879
744,-122.19927,47.70434
745,-122.1989,47.74518
746,-122.19846,47.61328
747,-122.19824,47.72573
748,-122.19786,47.61925
749,-122.19713,47.97319
750,-122.19695,47.88573
751,-122.1964,47.76578
752,-122.19633,47.84947
753,-122.19622,47.81891
754,-122.19582,47.90109
755,-122.19455,47.37972
756,-122.19427,47.65682
757,-122.19392,47.4544
758,-122.19389,47.71162
759,-122.1937,47.20788
760,-122.19328,47.91621
761,-122.19301,47.67994
762,-122.19167,47.3947
763,-122.19139,47.4716
764,-122.19106,47.79497
765,-122.18988,47.53961
766,-122.1895,47.29092
767,-122.1887,47.59571
768,-122.18806,47.33835
769,-122.18703,48.00277
770,-122.18698,47.93589
771,-122.18625,47.26895
772,-122.18591,47.22473
773,-122.18427,47.12876
774,-122.18415,47.35615
775,-122.18391,47.49454
776,-122.18353,47.31356
777,-122.18275,47.51068
778,-122.18151,47.98494
779,-122.18143,47.74321
780,-122.18086,47.56148
781,-122.18011,47.42142
782,-122.17975,47.85223
783,-122.17883,47.71751
784,-122.17868,47.39743
785,-122.17846,47.45039
786,-122.17785,47.32802
787,-122.17695,47.18253
788,-122.17592,47.40892
789,-122.17584,47.65729
790,-122.17534,47.37416
791,-122.17487,47.48275
792,-122.174,47.67623
793,-122.174,48.08611
794,-122.17349,47.89838
795,-122.17336,47.63272
796,-122.17321,48.06753
797,-122.17286,47.59138
798,-122.17275,47.76746
799,-122.17225,48.05316
800,-122.17191,47.61046
801,-122.17163,47.69482
802,-122.17129,48.59642
803,-122.16996,47.49708
804,-122.16917,47.43859
805,-122.16917,47.45476
806,-122.16895,47.53796
807,-122.16865,47.88602
808,-122.16696,47.98669
809,-122.16609,48.18744
810,-122.16602,47.23951
811,-122.16493,47.16075
812,-122.16469,47.74063
813,-122.16461,47.46383
814,-122.16376,48.13355
815,-122.16197,47.79372
816,-122.16162,47.72293
817,-122.16162,48.16334
818,-122.15996,48.10459
819,-122.15948,47.42184
820,-122.15752,47.5633
821,-122.15618,47.86983
822,-122.15578,47.8242
823,-122.15574,47.69147
824,-122.155,47.50939
825,-122.15493,47.85066
826,-122.15479,47.66892
827,-122.15395,47.59939
828,-122.15368,48.0692
829,-122.15322,47.64643
830,-122.1521,47.57439
831,-122.15113,48.08342
832,-122.15081,47.6174
833,-122.14968,48.05108
834,-122.14888,47.47771
835,-122.14843,47.37169
836,-122.14808,47.18583
837,-122.14763,47.75965
838,-122.14673,47.58675
839,-122.14673,48.27734
840,-122.14669,47.53068
841,-122.14509,47.3486
842,-122.14348,47.43784
843,-122.14276,47.44711
844,-122.14126,47.55085
845,-122.14073,47.4981
846,-122.13791,47.15733
847,-122.13754,47.61861
848,-122.13501,47.66339
849,-122.13382,47.68562
850,-122.13372,47.56537
851,-122.13196,47.86629
852,-122.13179,46.83964
853,-122.13127,47.64393
854,-122.13048,47.45329
855,-122.13011,48.06263
856,-122.12991,47.30639
857,-122.12986,48.16436
858,-122.12896,47.60035
859,-122.1282,47.21204
860,-122.12769,47.14247
861,-122.12707,47.61796
862,-122.12633,47.71792
863,-122.12445,47.75648
864,-122.12116,48.00869
865,-122.11998,47.68553
866,-122.11878,47.93471
867,-122.1186,48.12453
868,-122.11839,47.63661
869,-122.11782,47.40853
870,-122.11674,47.36401
871,-122.11602,47.9865
872,-122.11526,47.38233
873,-122.11499,48.02617
874,-122.11419,47.58056
875,-122.11177,47.6986
876,-122.11131,47.96583
877,-122.11087,47.48218
878,-122.11032,47.59727
879,-122.10798,47.55675
880,-122.1077,48.181
881,-122.10628,47.78488
882,-122.10496,47.68648
883,-122.10276,47.83122
884,-122.10253,48.05234
885,-122.10098,47.62235
886,-122.09921,47.63837
887,-122.09868,47.52692
888,-122.09859,48.08994
889,-122.09785,47.726
890,-122.09613,47.87708
891,-122.09554,47.9256
892,-122.09431,47.43624
893,-122.0937,47.99873
894,-122.09212,47.10957
895,-122.09076,47.75801
896,-122.08952,47.91506
897,-122.08901,47.67051
898,-122.08865,47.1594
899,-122.08777,47.56679
900,-122.08595,47.33121
901,-122.08509,48.03182
902,-122.08479,47.37323
903,-122.08035,47.34992
904,-122.07858,47.70076
905,-122.0745,47.96883
906,-122.0716,47.80155
907,-122.07125,47.63922
908,-122.06947,47.59545
909,-122.06749,47.25201
910,-122.06708,47.39078
911,-122.06677,48.01911
912,-122.06377,47.46436
913,-122.0603,47.58349
914,-122.05895,47.2047
915,-122.05315,47.50512
916,-122.05203,47.42519
917,-122.04925,47.36451
918,-122.04885,48.00407
919,-122.04828,47.53881
920,-122.04798,47.62762
921,-122.04658,47.32325
922,-122.04615,47.56058
923,-122.04613,47.66416
924,-122.04341,47.71006
925,-122.0403,48.10976
926,-122.03875,47.7515
927,-122.0323,47.35439
928,-122.03221,47.912
929,-122.03208,47.63507
930,-122.03008,47.36713
931,-122.02971,47.68366
932,-122.02325,47.37802
933,-122.0215,47.60288
934,-122.02122,47.79268
935,-122.01936,47.57982
936,-122.01839,47.86677
937,-122.01814,48.04681
938,-122.01797,47.96156
939,-122.01332,47.83083
940,-122.01189,47.18598
941,-122.01153,47.15089
942,-122.00829,47.5695
943,-122.00705,48.08051
944,-121.99185,47.32364
945,-121.9891,47.67593
946,-121.98891,47.20664
947,-121.98872,47.5868
948,-121.98651,47.60622
949,-121.98453,47.85644
950,-121.98238,48.20115
951,-121.98004,47.87822
952,-121.97475,48.5742
953,-121.96578,47.48515
954,-121.96405,47.55118
955,-121.95354,48.38388
956,-121.94866,47.70505
957,-121.94787,47.74632
958,-121.93806,47.92724
959,-121.92599,47.44094
960,-121.87914,47.32038
961,-121.87833,47.53507
962,-121.87782,47.90215
963,-121.86994,47.58153
964,-121.83061,47.70197
965,-121.82464,47.86678
966,-121.81787,47.51438
967,-121.81655,46.95583
968,-121.77174,47.49409
969,-121.67826,48.01231
970,-121.64921,47.89556
971,-121.63445,47.24029
972,-121.49906,47.46318
973,-121.49038,48.84989
974,-121.44641,47.87287
975,-121.44167,48.23711
976,-121.43128,47.65307
977,-121.32937,48.49945